seed,k,N,depth,xcoord,dist
1,2,2048,24,0.375,0.21477992832660675
1,2,2048,25,0.390625,0.24526941776275635
1,2,2048,26,0.40625,0.246113121509552
1,2,2048,27,0.421875,0.24382124841213226
1,2,2048,28,0.4375,0.26036909222602844
1,2,2048,29,0.453125,0.24700665473937988
1,2,2048,30,0.46875,0.25483718514442444
1,2,2048,31,0.484375,0.2684418857097626
1,2,2048,32,0.5,0.2728746831417084
1,3,3072,16,0.16666666666666666,0.18295210599899292
1,3,3072,17,0.17708333333333334,0.18207034468650818
1,3,3072,18,0.1875,0.2211160659790039
1,3,3072,19,0.19791666666666666,0.22787320613861084
1,3,3072,20,0.20833333333333334,0.2407798171043396
1,3,3072,21,0.21875,0.2270289808511734
1,3,3072,22,0.22916666666666666,0.22361907362937927
1,3,3072,23,0.23958333333333334,0.2275368571281433
1,3,3072,24,0.25,0.2241174280643463
1,3,3072,25,0.2604166666666667,0.21447528898715973
1,3,3072,26,0.2708333333333333,0.22140471637248993
1,3,3072,27,0.28125,0.22423885762691498
1,3,3072,28,0.2916666666666667,0.22685101628303528
1,3,3072,29,0.3020833333333333,0.2112467736005783
1,3,3072,30,0.3125,0.21506962180137634
1,3,3072,31,0.3229166666666667,0.2126873880624771
1,3,3072,32,0.3333333333333333,0.21907152235507965
1,4,4096,16,0.125,0.20520001649856567
1,4,4096,17,0.1328125,0.206187903881073
1,4,4096,18,0.140625,0.216317281126976
1,4,4096,19,0.1484375,0.20666533708572388
1,4,4096,20,0.15625,0.20699891448020935
1,4,4096,21,0.1640625,0.21487431228160858
1,4,4096,22,0.171875,0.22184550762176514
1,4,4096,23,0.1796875,0.21235325932502747
1,4,4096,24,0.1875,0.1995180994272232
1,4,4096,25,0.1953125,0.19920802116394043
1,4,4096,26,0.203125,0.21154969930648804
1,4,4096,27,0.2109375,0.22049401700496674
1,4,4096,28,0.21875,0.22635924816131592
1,4,4096,29,0.2265625,0.22644928097724915
1,4,4096,30,0.234375,0.24644501507282257
1,4,4096,31,0.2421875,0.25741177797317505
1,4,4096,32,0.25,0.24963924288749695
1,5,5120,16,0.1,0.12031561136245728
1,5,5120,17,0.10625,0.12297110259532928
1,5,5120,18,0.1125,0.13666440546512604
1,5,5120,19,0.11875,0.14159366488456726
1,5,5120,20,0.125,0.14318503439426422
1,5,5120,21,0.13125,0.15265223383903503
1,5,5120,22,0.1375,0.17981967329978943
1,5,5120,23,0.14375,0.18102216720581055
1,5,5120,24,0.15,0.17913272976875305
1,5,5120,25,0.15625,0.17742133140563965
1,5,5120,26,0.1625,0.1704266518354416
1,5,5120,27,0.16875,0.1728784143924713
1,5,5120,28,0.175,0.18429502844810486
1,5,5120,29,0.18125,0.1865859478712082
1,5,5120,30,0.1875,0.18943506479263306
1,5,5120,31,0.19375,0.18968012928962708
1,5,5120,32,0.2,0.1992524266242981
1,6,6144,16,0.08333333333333333,0.12164287269115448
1,6,6144,17,0.08854166666666667,0.12550102174282074
1,6,6144,18,0.09375,0.12359101325273514
1,6,6144,19,0.09895833333333333,0.1290721744298935
1,6,6144,20,0.10416666666666667,0.14958538115024567
1,6,6144,21,0.109375,0.1582694947719574
1,6,6144,22,0.11458333333333333,0.15789639949798584
1,6,6144,23,0.11979166666666667,0.16069863736629486
1,6,6144,24,0.125,0.1577806919813156
1,6,6144,25,0.13020833333333334,0.15876512229442596
1,6,6144,26,0.13541666666666666,0.16089415550231934
1,6,6144,27,0.140625,0.16961652040481567
1,6,6144,28,0.14583333333333334,0.16400541365146637
1,6,6144,29,0.15104166666666666,0.16934238374233246
1,6,6144,30,0.15625,0.18133223056793213
1,6,6144,31,0.16145833333333334,0.19265049695968628
1,6,6144,32,0.16666666666666666,0.1801844835281372
1,7,7168,16,0.07142857142857142,0.1629316359758377
1,7,7168,17,0.07589285714285714,0.16601385176181793
1,7,7168,18,0.08035714285714286,0.15888719260692596
1,7,7168,19,0.08482142857142858,0.17177030444145203
1,7,7168,20,0.08928571428571429,0.16715705394744873
1,7,7168,21,0.09375,0.16269446909427643
1,7,7168,22,0.09821428571428571,0.17046920955181122
1,7,7168,23,0.10267857142857142,0.16626021265983582
1,7,7168,24,0.10714285714285714,0.17515133321285248
1,7,7168,25,0.11160714285714286,0.17726212739944458
1,7,7168,26,0.11607142857142858,0.1873692125082016
1,7,7168,27,0.12053571428571429,0.18725036084651947
1,7,7168,28,0.125,0.18726801872253418
1,7,7168,29,0.12946428571428573,0.1888970136642456
1,7,7168,30,0.13392857142857142,0.20607542991638184
1,7,7168,31,0.13839285714285715,0.21810808777809143
1,7,7168,32,0.14285714285714285,0.22124548256397247
